"data","value"
"2019-07-01",3.8401
"2019-07-02",3.8447
"2019-07-03",3.8258
"2019-07-04",3.8008
"2019-07-05",3.8215
"2019-07-06",3.8164333333333333
"2019-07-07",3.8113666666666663
"2019-07-08",3.8063
"2019-07-09",3.8
"2019-07-10",3.7543
"2019-07-11",3.754
"2019-07-12",3.7358
"2019-07-13",3.7423666666666664
"2019-07-14",3.7489333333333335
"2019-07-15",3.7555
"2019-07-16",3.768
"2019-07-17",3.7632
"2019-07-18",3.7187
"2019-07-19",3.7481
"2019-07-20",3.7455
"2019-07-21",3.7429
"2019-07-22",3.7403
"2019-07-23",3.7735
"2019-07-24",3.7726
"2019-07-25",3.7783
"2019-07-26",3.7753
"2019-07-27",3.7773
"2019-07-28",3.7793
"2019-07-29",3.7813
"2019-07-30",3.7896
"2019-07-31",3.8125
"2019-08-01",3.8388
"2019-08-02",3.8883
"2019-08-03",3.9181333333333335
"2019-08-04",3.9479666666666664
"2019-08-05",3.9778
"2019-08-06",3.9603
"2019-08-07",3.9682
"2019-08-08",3.9188
"2019-08-09",3.9406
"2019-08-10",3.9555
"2019-08-11",3.9704
"2019-08-12",3.9853
"2019-08-13",3.9646
"2019-08-14",4.0522
"2019-08-15",3.9908
"2019-08-16",4.0054
"2019-08-17",4.028266666666666
"2019-08-18",4.0511333333333335
"2019-08-19",4.074
"2019-08-20",4.0529
"2019-08-21",4.026
"2019-08-22",4.0704
"2019-08-23",4.1196
"2019-08-24",4.132033333333333
"2019-08-25",4.144466666666667
"2019-08-26",4.1569
"2019-08-27",4.13
"2019-08-28",4.1677
"2019-08-29",4.1685
"2019-08-30",4.1445
"2019-08-31",4.1582333333333334
"2019-09-01",4.171966666666666
"2019-09-02",4.1857
"2019-09-03",4.1678
"2019-09-04",4.0948
"2019-09-05",4.1081
"2019-09-06",4.0607
"2019-09-07",4.071899999999999
"2019-09-08",4.0831
"2019-09-09",4.0943
"2019-09-10",4.0798
"2019-09-11",4.0671
"2019-09-12",4.0602
"2019-09-13",4.084
"2019-09-14",4.0827
"2019-09-15",4.0813999999999995
"2019-09-16",4.0801
"2019-09-17",4.0773
"2019-09-18",4.1106
"2019-09-19",4.1672
"2019-09-20",4.1472
"2019-09-21",4.152433333333333
"2019-09-22",4.157666666666667
"2019-09-23",4.1629
"2019-09-24",4.1647
"2019-09-25",4.1477
"2019-09-26",4.1707
"2019-09-27",4.1599
"2019-09-28",4.1583000000000006
"2019-09-29",4.1567
"2019-09-30",4.1551
"2019-10-01",4.1578
"2019-10-02",4.1287
"2019-10-03",4.0832
"2019-10-04",4.0551
"2019-10-05",4.072333333333334
"2019-10-06",4.089566666666666
"2019-10-07",4.1068
"2019-10-08",4.0942
"2019-10-09",4.1089
"2019-10-10",4.1089
"2019-10-11",4.1094
"2019-10-12",4.114766666666666
"2019-10-13",4.120133333333333
"2019-10-14",4.1255
"2019-10-15",4.1805
"2019-10-16",4.1505
"2019-10-17",4.163
"2019-10-18",4.1105
"2019-10-19",4.1165
"2019-10-20",4.1225
"2019-10-21",4.1285
"2019-10-22",4.0817
"2019-10-23",4.0337
"2019-10-24",4.0401
"2019-10-25",4.0029
"2019-10-26",3.998666666666667
"2019-10-27",3.9944333333333337
"2019-10-28",3.9902
"2019-10-29",3.998
"2019-10-30",3.9895
"2019-10-31",4.0174
"2019-11-01",3.9897
"2019-11-02",3.9982
"2019-11-03",4.0067
"2019-11-04",4.0152
"2019-11-05",3.9935
"2019-11-06",4.0834
"2019-11-07",4.1004
"2019-11-08",4.1633
"2019-11-09",4.1594
"2019-11-10",4.1555
"2019-11-11",4.1516
"2019-11-12",4.1675
"2019-11-13",4.1702
"2019-11-14",4.1949
"2019-11-15",4.1957
"2019-11-16",4.203033333333334
"2019-11-17",4.210366666666666
"2019-11-18",4.2177
"2019-11-19",4.1942
"2019-11-20",4.1955
"2019-11-21",4.193
"2019-11-22",4.1962
"2019-11-23",4.206333333333333
"2019-11-24",4.216466666666667
"2019-11-25",4.2266
"2019-11-26",4.233
"2019-11-27",4.2636
"2019-11-28",4.19
"2019-11-29",4.2364
"2019-11-30",4.231933333333333
"2019-12-01",4.2274666666666665
"2019-12-02",4.223
"2019-12-03",4.2063
"2019-12-04",4.2077
"2019-12-05",4.1856
"2019-12-06",4.1411
"2019-12-07",4.141466666666666
"2019-12-08",4.1418333333333335
"2019-12-09",4.1422
"2019-12-10",4.1467
"2019-12-11",4.1238
"2019-12-12",4.0905
"2019-12-13",4.108
"2019-12-14",4.092933333333333
"2019-12-15",4.077866666666667
"2019-12-16",4.0628
"2019-12-17",4.0716
"2019-12-18",4.063
"2019-12-19",4.0694
"2019-12-20",4.1022
"2019-12-21",4.0959
"2019-12-22",4.0896
"2019-12-23",4.0833
"2019-12-24",4.0833
"2019-12-25",4.0838
"2019-12-26",4.0557
"2019-12-27",4.0456
"2019-12-28",4.036766666666667
"2019-12-29",4.027933333333333
"2019-12-30",4.0191
"2019-12-31",4.019
"2020-01-01",4.0195
"2020-01-02",4.026
"2020-01-03",4.0669
"2020-01-04",4.065133333333334
"2020-01-05",4.063366666666667
"2020-01-06",4.0616
